food,display_name,category,calories_kcal,carbohydrate_g,fat_g,protein_g,sugar_g,fiber_g,gi,alternative_food,alternative_reason
banana,바나나,fruit,89,22.8,0.3,1.1,12.2,2.6,51,apple,사과는 바나나보다 GI가 낮아 혈당 부담을 줄이는 데 도움이 됩니다.
tteokbokki,떡볶이,korean_snack,210,43,2.5,4,7.5,1.5,80,oil_pasta,오일파스타는 떡볶이보다 GI가 낮아 혈당 부담을 줄이는 데 도움이 됩니다.
gimbap,김밥,korean_meal,170,27,4.5,5.5,2.5,2,65,,
kimchi,김치,side_dish,25,4,0.5,1.5,1.5,2.4,15,,
fried_egg,계란후라이,protein_food,196,0.9,15,13.6,0.4,0,0,,
apple,사과,fruit,52,13.8,0.2,0.3,10.4,2.4,36,,
ramen,라면,noodle,436,61,16,10,3,2.5,73,konjac_noodle,곤약면은 라면보다 GI와 칼로리가 낮아 혈당 부담과 열량 섭취를 줄이는 데 도움이 됩니다.
salad,샐러드,vegetable_meal,35,6,0.5,1.5,2.5,2.8,15,,
white_rice,흰쌀밥,grain,130,28.6,0.3,2.4,0.1,0.4,73,brown_rice,현미밥은 흰쌀밥보다 식이섬유 함량이 높아 혈당 상승을 완만하게 하는 데 도움이 됩니다.
sandwich,샌드위치,meal,240,27,8,11,4,2.5,70,whole_grain_sandwich,통밀샌드위치는 일반 샌드위치보다 GI가 낮고 식이섬유 함량이 높아 혈당 부담을 줄이는 데 도움이 됩니다.
grilled_salmon,구운연어,protein_food,206,0,12.4,22.1,0,0,0,,
waffle,와플,dessert,291,33,14,7.9,8,1.2,76,whole_wheat_waffle,통밀와플은 일반 와플보다 GI가 낮고 식이섬유 함량이 높아 혈당 부담을 줄이는 데 도움이 됩니다.
chocolate,초콜릿,dessert,546,61,31,4.9,48,7,40,,
jajangmyeon,짜장면,noodle,175,28,5,5,4,1.8,70,buckwheat_poke,메밀포케는 짜장면보다 GI가 낮고 식이섬유와 단백질을 함께 섭취할 수 있어 혈당 부담을 줄이는 데 도움이 됩니다.
sweet_potato,고구마,root_crop,86,20.1,0.1,1.6,4.2,3,54,,
oil_pasta,오일파스타,noodle,180,25,6.5,5.5,1.5,1.8,50,,
whole_wheat_waffle,통밀와플,dessert,250,30,10,8.5,5,4,55,,
konjac_noodle,곤약면,noodle,12,3,0,0.2,0,2,15,,
whole_grain_sandwich,통밀샌드위치,meal,210,24,6,12,3,5,52,,
brown_rice,현미밥,grain,111,23,0.9,2.6,0.4,1.8,55,,
buckwheat_poke,메밀포케,meal,135,18,3.5,10,2,2.5,54,,
